frame,laplacian,tenengrad,fft,is_blurry
585,522.71,9.59,2.51,True
586,556.90,10.50,2.83,True
587,543.30,9.50,2.52,True
588,538.52,9.44,2.51,True
589,542.04,9.53,2.52,True
590,541.14,9.54,2.52,True
591,534.60,9.61,2.51,True
592,544.12,9.73,2.54,True
593,537.97,9.71,2.52,True
594,546.13,9.84,2.54,True
595,533.31,9.68,2.51,True
596,545.69,9.72,2.51,True
597,545.65,9.73,2.52,True
598,543.74,9.80,2.53,True
599,530.25,9.78,2.52,True
600,542.54,9.83,2.53,True
601,542.60,9.88,2.53,True
602,537.82,9.88,2.53,True
603,542.26,10.01,2.55,True
604,541.65,10.05,2.55,True
605,537.06,10.10,2.55,True
606,548.15,10.14,2.57,True
607,541.97,10.13,2.56,True
608,529.84,10.17,2.55,True
609,518.03,10.18,2.54,True
610,530.41,10.29,2.56,True
611,529.96,10.29,2.56,True
612,526.15,10.44,2.57,True
613,558.79,11.13,2.85,True
614,528.13,10.10,2.58,True
615,524.37,10.27,2.60,True
616,534.81,10.33,2.61,True
617,529.69,10.47,2.61,True
618,544.99,10.66,2.64,True
619,532.50,10.67,2.63,True
620,545.01,10.79,2.64,True
621,545.00,10.85,2.64,True
622,557.08,10.95,2.67,True
623,543.40,10.95,2.66,True
624,555.87,11.04,2.67,True
625,555.92,11.08,2.69,True
626,551.25,11.11,2.69,True
627,555.97,11.27,2.71,True
628,555.33,11.32,2.72,True
629,551.69,11.42,2.72,True
630,561.13,11.42,2.74,True
631,554.59,11.39,2.73,True
632,542.45,11.38,2.73,True
633,530.52,11.33,2.72,True
634,542.78,11.43,2.74,True
635,542.76,11.47,2.75,True
636,538.07,11.47,2.75,True
637,541.80,11.55,2.76,True
638,541.23,11.58,2.77,True
639,537.33,11.65,2.77,True
640,547.54,11.77,2.79,True
641,542.45,11.81,2.79,True
642,583.16,13.33,3.22,True
643,562.58,11.81,2.79,True
644,558.01,11.93,2.82,True
645,558.17,12.05,2.85,True
646,555.73,12.22,2.88,True
647,596.24,16.66,3.93,True
648,554.05,12.13,2.84,True
649,552.65,12.14,2.84,True
650,548.03,12.11,2.84,True
651,552.24,12.17,2.85,True
652,551.34,12.20,2.85,True
653,576.31,13.54,3.23,True
654,568.63,12.25,2.87,True
655,582.47,12.70,3.04,True
656,555.92,12.17,2.86,True
657,542.94,12.08,2.82,True
658,552.76,12.19,2.83,True
659,552.77,12.21,2.83,True
660,548.38,12.23,2.84,True
661,551.66,12.26,2.84,True
662,550.94,12.20,2.84,True
663,546.94,12.18,2.82,True
664,556.61,12.21,2.84,True
665,551.21,12.16,2.83,True
666,552.59,11.90,2.80,True
667,538.75,11.83,2.77,True
668,576.39,12.55,2.91,True
669,573.59,12.50,2.89,True
670,572.35,12.33,2.87,True
671,554.69,11.76,2.77,True
672,567.30,11.83,2.78,True
673,567.03,11.86,2.78,True
674,562.78,11.84,2.78,True
675,566.95,11.91,2.78,True
676,565.87,11.89,2.78,True
677,561.38,11.88,2.77,True
678,572.75,12.00,2.80,True
679,567.49,12.03,2.79,True
680,555.80,12.13,2.79,True
681,541.72,12.13,2.78,True
682,552.94,12.30,2.81,True
683,553.31,12.41,2.84,True
684,535.55,11.88,2.76,True
685,537.75,11.93,2.76,True
686,537.16,11.90,2.76,True
687,532.66,11.88,2.75,True
688,542.45,11.93,2.77,True
689,537.41,11.95,2.77,True
690,552.42,12.05,2.78,True
691,539.75,12.01,2.77,True
692,552.15,12.09,2.78,True
693,552.21,12.12,2.79,True
694,546.47,12.10,2.79,True
695,533.94,12.19,2.80,True
696,547.06,12.36,2.82,True
697,548.51,12.48,2.84,True
698,544.82,12.55,2.85,True
699,547.40,12.54,2.84,True
700,546.35,12.53,2.84,True
701,541.59,12.56,2.84,True
702,554.05,12.39,2.84,True
703,546.83,12.40,2.83,True
704,567.43,14.15,3.35,True
705,522.96,12.40,2.87,True
706,533.49,12.25,2.81,True
707,533.56,12.32,2.81,True
708,528.86,12.30,2.81,True
709,533.52,12.46,2.85,True
710,532.71,12.46,2.83,True
711,528.56,12.46,2.82,True
712,539.78,12.73,2.90,True
713,533.81,12.59,2.87,True
714,548.48,12.63,2.86,True
715,536.56,12.74,2.89,True
716,548.54,12.59,2.85,True
717,548.46,12.61,2.85,True
718,557.99,12.68,2.87,True
719,571.42,17.05,3.72,True
720,556.99,12.57,2.88,True
721,555.82,12.49,2.84,True
722,551.03,12.43,2.84,True
723,554.60,12.53,2.85,True
724,580.76,13.10,3.09,True
725,579.08,12.88,2.98,True
726,558.11,12.23,2.82,True
727,551.75,12.20,2.80,True
728,561.85,13.02,2.96,True
729,528.71,12.42,2.83,True
730,541.27,12.57,2.85,True
731,540.88,12.32,2.81,True
732,535.73,12.30,2.81,True
733,562.23,12.90,2.93,True
734,537.95,12.32,2.81,True
735,534.14,12.26,2.79,True
736,543.92,12.31,2.81,True
737,574.59,14.04,3.40,True
738,556.35,12.67,2.95,True
739,522.57,11.83,2.76,True
740,564.18,15.14,3.45,True
741,546.62,11.95,2.78,True
742,546.54,11.97,2.80,True
743,569.13,12.88,3.00,True
744,558.51,12.02,2.81,True
745,591.59,17.33,3.81,True
746,553.47,12.00,2.81,True
